ModelId,IndexOrder,IndexValue
1,0,0
1,1,2
1,2,1
1,3,0
1,4,3
1,5,2
1,6,0
1,7,4
1,8,3
1,9,0
1,10,5
1,11,4
1,12,0
1,13,6
1,14,5
1,15,0
1,16,7
1,17,6
1,18,0
1,19,8
1,20,7
1,21,0
1,22,9
1,23,8
1,24,0
1,25,10
1,26,9
1,27,0
1,28,11
1,29,10
1,30,0
1,31,12
1,32,11
1,33,0
1,34,13
1,35,12
1,36,0
1,37,14
1,38,13
1,39,0
1,40,15
1,41,14
1,42,0
1,43,16
1,44,15
1,45,0
1,46,1
1,47,16
1,48,1
1,49,2
1,50,17
1,51,17
1,52,2
1,53,18
1,54,2
1,55,3
1,56,18
1,57,18
1,58,3
1,59,19
1,60,3
1,61,4
1,62,19
1,63,19
1,64,4
1,65,20
1,66,4
1,67,5
1,68,20
1,69,20
1,70,5
1,71,21
1,72,5
1,73,6
1,74,21
1,75,21
1,76,6
1,77,22
1,78,6
1,79,7
1,80,22
1,81,22
1,82,7
1,83,23
1,84,7
1,85,8
1,86,23
1,87,23
1,88,8
1,89,24
1,90,8
1,91,9
1,92,24
1,93,24
1,94,9
1,95,25
1,96,9
1,97,10
1,98,25
1,99,25
1,100,10
1,101,26
1,102,10
1,103,11
1,104,26
1,105,26
1,106,11
1,107,27
1,108,11
1,109,12
1,110,27
1,111,27
1,112,12
1,113,28
1,114,12
1,115,13
1,116,28
1,117,28
1,118,13
1,119,29
1,120,13
1,121,14
1,122,29
1,123,29
1,124,14
1,125,30
1,126,14
1,127,15
1,128,30
1,129,30
1,130,15
1,131,31
1,132,15
1,133,16
1,134,31
1,135,31
1,136,16
1,137,32
1,138,16
1,139,1
1,140,32
1,141,32
1,142,1
1,143,17
1,144,17
1,145,18
1,146,33
1,147,33
1,148,18
1,149,34
1,150,18
1,151,19
1,152,34
1,153,34
1,154,19
1,155,35
1,156,19
1,157,20
1,158,35
1,159,35
1,160,20
1,161,36
1,162,20
1,163,21
1,164,36
1,165,36
1,166,21
1,167,37
1,168,21
1,169,22
1,170,37
1,171,37
1,172,22
1,173,38
1,174,22
1,175,23
1,176,38
1,177,38
1,178,23
1,179,39
1,180,23
1,181,24
1,182,39
1,183,39
1,184,24
1,185,40
1,186,24
1,187,25
1,188,40
1,189,40
1,190,25
1,191,41
1,192,25
1,193,26
1,194,41
1,195,41
1,196,26
1,197,42
1,198,26
1,199,27
1,200,42
1,201,42
1,202,27
1,203,43
1,204,27
1,205,28
1,206,43
1,207,43
1,208,28
1,209,44
1,210,28
1,211,29
1,212,44
1,213,44
1,214,29
1,215,45
1,216,29
1,217,30
1,218,45
1,219,45
1,220,30
1,221,46
1,222,30
1,223,31
1,224,46
1,225,46
1,226,31
1,227,47
1,228,31
1,229,32
1,230,47
1,231,47
1,232,32
1,233,48
1,234,32
1,235,17
1,236,48
1,237,48
1,238,17
1,239,33
1,240,33
1,241,34
1,242,49
1,243,49
1,244,34
1,245,50
1,246,34
1,247,35
1,248,50
1,249,50
1,250,35
1,251,51
1,252,35
1,253,36
1,254,51
1,255,51
1,256,36
1,257,52
1,258,36
1,259,37
1,260,52
1,261,52
1,262,37
1,263,53
1,264,37
1,265,38
1,266,53
1,267,53
1,268,38
1,269,54
1,270,38
1,271,39
1,272,54
1,273,54
1,274,39
1,275,55
1,276,39
1,277,40
1,278,55
1,279,55
1,280,40
1,281,56
1,282,40
1,283,41
1,284,56
1,285,56
